name,parent,type,size
filelist.py,_distutils,file,60
file_util.py,_distutils,file,61
log.py,_distutils,file,55
msvc9compiler.py,_distutils,file,65
msvccompiler.py,_distutils,file,64
py38compat.py,_distutils,file,62
py39compat.py,_distutils,file,62
spawn.py,_distutils,file,57
sysconfig.py,_distutils,file,61
text_file.py,_distutils,file,61
unixccompiler.py,_distutils,file,65
util.py,_distutils,file,56
version.py,_distutils,file,59
versionpredicate.py,_distutils,file,68
_collections.py,_distutils,file,64
_functools.py,_distutils,file,62
_macos_compat.py,_distutils,file,65
_msvccompiler.py,_distutils,file,65
__init__.py,_distutils,file,60
_distutils,setuptools,dir,396474
bdist.py,command,file,57
bdist_dumb.py,command,file,62
bdist_rpm.py,command,file,61
build.py,command,file,57
build_clib.py,command,file,62
build_ext.py,command,file,61
build_py.py,command,file,60
build_scripts.py,command,file,65
check.py,command,file,57
clean.py,command,file,57
config.py,command,file,58
install.py,command,file,59
install_data.py,command,file,64
install_egg_info.py,command,file,68
install_headers.py,command,file,67
install_lib.py,command,file,63
install_scripts.py,command,file,67
py37compat.py,command,file,62
register.py,command,file,60
sdist.py,command,file,57
upload.py,command,file,58
_framework_compat.py,command,file,69
__init__.py,command,file,60
command,_distutils,dir,208459
ordered_set.py,_vendor,file,63
typing_extensions.py,_vendor,file,69
zipp.py,_vendor,file,56
__init__.py,_vendor,file,60
_vendor,setuptools,dir,110704
_adapters.py,importlib_metadata,file,61
_collections.py,importlib_metadata,file,64
_compat.py,importlib_metadata,file,59
_functools.py,importlib_metadata,file,62
_itertools.py,importlib_metadata,file,62
_meta.py,importlib_metadata,file,57
_text.py,importlib_metadata,file,57
__init__.py,importlib_metadata,file,60
importlib_metadata,_vendor,dir,42846
abc.py,importlib_resources,file,55
readers.py,importlib_resources,file,59
simple.py,importlib_resources,file,58
_adapters.py,importlib_resources,file,61
_common.py,importlib_resources,file,59
_compat.py,importlib_resources,file,59
_itertools.py,importlib_resources,file,62
_legacy.py,importlib_resources,file,59
__init__.py,importlib_resources,file,60
importlib_resources,_vendor,dir,25123
context.py,jaraco,file,59
functools.py,jaraco,file,61
__init__.py,jaraco,file,60
